filename,curve_number,position_index,point_number,x_nm,measured_y_nN,linear_fit_used,linear_fit_y_nN,elasticity_fit_used,elasticity_fit_y_nN,indentation_delta_nm
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,1,349.7921889379268,-0.008139965689722304,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,2,349.51429993555985,-0.011040391408143547,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,3,349.0374298726367,-0.02772297907650622,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,4,348.8653988575423,-0.023291290270065147,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,5,348.410904769297,-0.038455532904330625,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,6,348.0358800855787,-0.048083934078054426,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,7,347.88295130787463,-0.042329153875102866,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,8,347.62217480443064,-0.044044304819804314,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,9,347.4906790325365,-0.036773498126941674,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,10,347.39863833592204,-0.02680138491723129,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,11,347.1677089782036,-0.02644921249475795,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,12,346.9538921194082,-0.024911765298565022,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,13,347.0329750760916,-0.0030869968832970976,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,14,346.83491073652436,-0.00045847212165708536,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,15,346.61483539914724,0.00067698724959869,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,16,346.43126352689364,0.004309313734993626,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,17,346.21585450326575,0.005736481724094885,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,18,346.13251216566033,0.01634257283026116,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,19,346.0460431108097,0.026700598492645007,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,20,345.387645249021,-0.002523776387657796,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,21,345.2745128437403,0.005987447309078804,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,22,345.2850895282423,0.02309871619070624,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,23,344.86940599381927,0.01065413309720446,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,24,344.567682178045,0.006134317795143946,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,25,344.52731974097037,0.019717355290295016,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,26,344.1909302367973,0.01276496910993306,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,27,344.04550576127235,0.019071022430603858,0,,1,0.00063869734810349,0.0
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,28,343.7878559750752,0.017603936929684642,0,,1,0.00063869734810349,0.0
