filename,curve_number,position_index,map_x_position,map_y_position,linear_x_min_used_nm,linear_x_max_used_nm,linear_first_excluded_above_nm,linear_T,linear_range_score,linear_slope_bruker_N_per_m,bacterial_spring_constant_N_per_m,bacterial_spring_constant_nN_per_um,linear_model_x_slope_N_per_m,linear_intercept_nN,linear_rmsd_custom_pN,elasticity_x_min_used_nm,elasticity_x_max_used_nm,elasticity_last_excluded_below_nm,elasticity_T,elasticity_contact_T,elasticity_range_score,youngs_modulus_MPa,contact_point_x_nm,contact_point_y_measured_nN,contact_point_y_fit_nN,elasticity_baseline_pN,elasticity_rms_bruker_pN,elasticity_rmsd_custom_pN,max_indentation_x_nm,max_indentation_y_nN
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_01.jpk-qi-series,2,2261,-0.001728735,-0.002071169,-57.13703481,-37.11979373,-36.95741478,99,9.54E-15,0.018723182,0.014738979,14.73897917,-0.018723182,-0.095899699,17.49842764,-39.6886812,377.2427503,-39.99404136,1715,248,1.38E-08,0.627517442,14.34850746,-0.011873488,-0.00174239,-1.742390139,18.91771654,18.90116319,-57.13703481,0.96512489
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_02.jpk-qi-series,3,2262,-0.00172868,-0.002071169,-59.41596189,-39.73377424,-39.45903932,98,1.44E-14,0.018352323,0.014508188,14.50818839,-0.018352323,-0.148591654,17.30877429,-33.58327744,372.9417374,-33.77842224,1671,183,7.45E-09,0.746263416,6.641427341,-0.018545268,-0.000479643,-0.479642889,18.39228553,18.37576799,-59.41596189,0.966606631
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_03.jpk-qi-series,4,2263,-0.001728625,-0.002071169,-49.72263902,-25.0649848,-24.63086502,128,7.30E-15,0.021592649,0.016461004,16.46100366,-0.021592649,-0.11128065,19.70344253,-29.05051478,382.5002269,-29.38112137,1696,179,2.41E-08,1.014538816,9.087737082,0.02460058,0.000643624,0.643623767,18.48500383,18.46864783,-49.72263902,0.980295551
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_04.jpk-qi-series,5,2264,-0.001728571,-0.002071169,-53.69182157,-37.05863276,-36.73561402,88,1.17E-14,0.022160711,0.016789091,16.78909139,-0.022160711,-0.249077597,15.19367148,-17.5266301,380.9028487,-17.57508161,1623,120,3.71E-07,1.137520433,9.006384206,0.016674334,-0.001302682,-1.30268174,19.89112024,19.87272808,-53.69182157,0.945907944
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2325,-0.001728735,-0.002071115,-80.79972904,-45.17872122,-44.58251944,176,6.71E-15,0.016756502,0.01349238,13.49238019,-0.016756502,-0.312515394,19.85038036,-14.47399708,349.7921889,-14.73284501,1491,107,2.97E-07,0.934091483,9.713123263,-0.024049299,0.000638697,0.638697348,19.02319752,19.00404986,-80.79972904,1.076077531
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_11.jpk-qi-series,12,2389,-0.001728735,-0.00207106,-55.29285658,-25.69794883,-25.30197571,149,2.74E-16,0.020254643,0.015671776,15.67177648,-0.020254643,-0.094373179,20.80365008,-25.30197571,375.020225,-25.69794883,1651,165,1.14E-09,0.915489241,10.92959286,0.025800359,-0.002183228,-2.183227599,19.71850761,19.7005844,-55.29285658,1.004370823
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_15.jpk-qi-series,16,2452,-0.001728789,-0.002071005,-66.07491208,-23.58090299,-23.22596843,212,1.50E-15,0.018706069,0.014728372,14.72837236,-0.018706069,-0.239803594,19.0637596,-26.87661498,365.368897,-27.01639403,1605,170,6.21E-08,0.423696139,13.29315554,0.026932395,0.000700155,0.700154939,17.31576642,17.29957589,-66.07491208,1.012417649
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_17.jpk-qi-series,18,2454,-0.00172868,-0.002071005,-58.61551422,-24.39869113,-24.15723081,172,6.35E-15,0.019278026,0.015080656,15.08065624,-0.019278026,-0.116374119,19.45108123,-36.49949622,373.4870139,-37.08781788,1691,222,2.92E-09,0.71371346,12.01496211,0.016372363,-9.15E-05,-0.091524917,18.78404603,18.76737626,-58.61551422,1.012500396
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_20.jpk-qi-series,21,2516,-0.001728789,-0.00207095,-85.27608265,-48.81569282,-48.57145997,174,1.11E-14,0.014808279,0.012199976,12.19997612,-0.014808279,-0.292241853,17.06420942,-25.51222657,347.6291551,-25.82206717,1524,123,9.43E-08,0.675959358,2.676917103,0.005613394,-0.00012358,-0.123580163,19.07783695,19.05905031,-85.27608265,0.99788626
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_22.jpk-qi-series,23,2518,-0.00172868,-0.00207095,-57.53786376,-27.46284522,-27.1959328,151,1.42E-15,0.019451695,0.015186725,15.1867253,-0.019451695,-0.117794622,20.73098061,-24.30693095,374.7336574,-24.65317054,1638,136,9.37E-08,1.235219882,4.604923521,-0.007743549,-0.000189584,-0.189584237,17.28877836,17.27293889,-57.53786376,0.988124415
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_23.jpk-qi-series,24,2519,-0.001728625,-0.00207095,-67.5227228,-32.45683727,-32.11585885,173,4.73E-15,0.016538958,0.013350978,13.35097758,-0.016538958,-0.12778418,17.27127082,-28.41091521,364.2505751,-28.68225038,1613,177,2.38E-08,0.649634689,11.43331903,0.011798777,-0.000667177,-0.66717696,17.82740597,17.81081976,-67.5227228,0.982387258
