filename,curve_number,position_index,map_x_position,map_y_position,linear_x_min_used_nm,linear_x_max_used_nm,linear_first_excluded_above_nm,linear_T,linear_range_score,linear_slope_bruker_N_per_m,bacterial_spring_constant_N_per_m,bacterial_spring_constant_nN_per_um,linear_model_x_slope_N_per_m,linear_intercept_nN,linear_rmsd_custom_pN,elasticity_x_min_used_nm,elasticity_x_max_used_nm,elasticity_last_excluded_below_nm,elasticity_T,elasticity_contact_T,elasticity_range_score,youngs_modulus_MPa,contact_point_x_nm,contact_point_y_measured_nN,contact_point_y_fit_nN,elasticity_baseline_pN,elasticity_rms_bruker_pN,elasticity_rmsd_custom_pN,max_indentation_x_nm,max_indentation_y_nN
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\320 mgl\F_cell1\crop2\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_00.jpk-qi-series,1,5855,-0.001758802,-0.002092465,-38.55517788,-25.11987691,-24.82094514,82,2.06E-15,0.032008187,0.021891617,21.89161658,-0.032008187,-0.285331529,22.24767017,-24.82094514,315.9647151,-25.11987691,1418,150,6.98E-08,1.476153632,5.515350612,-0.025903237,-2.74E-05,-0.027407586,20.07927267,20.05802101,-38.55517788,0.971518465
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_10.jpk-qi-series,11,6111,-0.001758802,-0.002092332,-32.04322327,-17.31562318,-16.94411302,93,3.64E-15,0.037605716,0.024372837,24.37283716,-0.037605716,-0.212822892,24.33697631,-16.94411302,322.6838532,-17.31562318,1407,113,2.78E-09,2.115684842,5.948152536,-0.000135749,-0.000469347,-0.469346986,17.24355631,17.22516318,-32.04322327,0.986179635
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_11.jpk-qi-series,12,6112,-0.001758735,-0.002092332,-38.77367144,-23.46506805,-23.29078299,80,2.79E-16,0.022602535,0.017041464,17.04146406,-0.022602535,0.101850925,18.97353145,-22.94549925,316.9102981,-23.12055701,1417,158,1.28E-07,1.841592139,8.369084507,-0.008573585,-0.001322111,-1.322110858,22.17023105,22.14674977,-38.77367144,0.977247421
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_12.jpk-qi-series,13,6113,-0.001758669,-0.002092332,-31.22671718,-14.4881552,-14.35070706,102,1.08E-15,0.036827573,0.024043578,24.04357826,-0.036827573,-0.206647875,23.88391471,-19.90174918,324.1601394,-20.17988448,1431,137,1.32E-08,1.920043206,7.577857338,0.031425968,-0.000371076,-0.371076189,19.26533217,19.2451273,-31.22671718,0.967886836
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_13.jpk-qi-series,14,6114,-0.001758603,-0.002092332,-39.90177621,-28.90725723,-28.61883284,70,1.12E-14,0.039295652,0.02507165,25.07164982,-0.039295652,-0.601833656,21.83280082,-18.60549642,315.4374141,-19.10782954,1376,93,2.42E-07,1.854481904,0.695224421,-0.014923268,-0.000930526,-0.930526109,19.29450267,19.27345794,-39.90177621,0.973362638
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_15.jpk-qi-series,16,6239,-0.001758802,-0.002092265,-38.78732696,-20.05491557,-19.91085053,111,1.10E-14,0.034689788,0.023113634,23.11363448,-0.034689788,-0.373043199,22.16619377,-24.68601239,315.3871607,-25.10042536,1416,145,5.93E-09,1.503702578,5.019531804,0.028917784,0.000808892,0.808891716,19.27874188,19.25830866,-38.78732696,0.964727852
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_16.jpk-qi-series,17,6240,-0.001758735,-0.002092265,-44.03990463,-31.17889796,-30.85305203,78,9.39E-15,0.035574187,0.023502951,23.50295051,-0.035574187,-0.600453303,22.97596903,-21.69834852,310.6254648,-22.15188721,1375,120,3.56E-08,1.231020936,4.022651044,-0.014569688,0.000980221,0.980221417,19.34611636,19.32499998,-44.03990463,0.969115102
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-15.59.26.951-cropped_2.jpk-qi-series_21.jpk-qi-series,22,6368,-0.001758735,-0.002092199,-56.06057178,-42.04183528,-41.9623499,81,6.24E-15,0.027062759,0.019459521,19.45952074,-0.027062759,-0.57688087,22.57748799,-36.08841457,297.9923569,-36.52564545,1389,175,1.49E-07,0.739614637,2.150621092,0.01554508,0.001949621,1.949621298,18.72944201,18.7092049,-56.06057178,0.995340953
