filename,curve_number,position_index,map_x_position,map_y_position,linear_x_min_used_nm,linear_x_max_used_nm,linear_first_excluded_above_nm,linear_T,linear_range_score,linear_slope_bruker_N_per_m,bacterial_spring_constant_N_per_m,bacterial_spring_constant_nN_per_um,linear_model_x_slope_N_per_m,linear_intercept_nN,linear_rmsd_custom_pN,elasticity_x_min_used_nm,elasticity_x_max_used_nm,elasticity_last_excluded_below_nm,elasticity_T,elasticity_contact_T,elasticity_range_score,youngs_modulus_MPa,contact_point_x_nm,contact_point_y_measured_nN,contact_point_y_fit_nN,elasticity_baseline_pN,elasticity_rms_bruker_pN,elasticity_rmsd_custom_pN,max_indentation_x_nm,max_indentation_y_nN
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\+ve ctrl\F_cell1\crop1\qi-data-2024.10.02-12.34.24.687-cropped_00.jpk-qi-series,1,10955,-0.001730693,-0.002099229,-66.34044945,-25.07066356,-24.72990165,201,1.11E-15,0.014163674,0.011759071,11.75907141,-0.014163674,0.108307023,19.62469775,-24.72990165,282.9571103,-25.07066356,1299,161,2.50E-08,1.14138895,9.258635827,0.006857333,0.001198534,1.198534341,16.97489934,16.95528651,-66.34044945,1.057347946
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_01.jpk-qi-series,2,10956,-0.001730627,-0.002099229,-90.36857328,-53.77043833,-53.60750571,179,1.47E-14,0.016094044,0.013059541,13.05954142,-0.016094044,-0.402252732,15.55277294,-24.88115312,258.8153632,-25.1024232,1194,168,2.28E-08,0.466890984,13.01350454,0.003847299,-0.000300982,-0.300982371,16.34211323,16.32157003,-90.36857328,1.056701556
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_04.jpk-qi-series,5,10959,-0.001730427,-0.002099229,-63.22284027,-40.7684249,-40.40376548,114,4.95E-15,0.018158617,0.014386863,14.38686339,-0.018158617,-0.078967657,15.75177557,-24.62804432,286.2049976,-24.99314957,1310,171,2.13E-07,0.912196584,11.85571591,0.005511694,-2.75E-06,-0.002748289,17.7659354,17.74558107,-63.22284027,1.056797715
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_06.jpk-qi-series,7,11084,-0.001730627,-0.002099163,-82.67924638,-57.67491061,-57.63901458,117,1.03E-14,0.009426419,0.008297212,8.297212177,-0.009426419,0.2066655,19.70109159,-25.55467956,265.8771249,-25.63692381,1231,156,1.37E-08,0.813357326,8.966260575,0.036547422,1.32E-05,0.013246295,17.35893565,17.33777051,-82.67924638,1.042346812
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_07.jpk-qi-series,8,11085,-0.00173056,-0.002099163,-83.84865597,-50.50303888,-50.25010944,163,4.84E-15,0.015446618,0.012629983,12.62998273,-0.015446618,-0.247995657,18.59132978,-25.92212211,265.3959125,-26.46637288,1223,141,9.75E-08,0.646550483,6.425452812,0.05075911,0.000333872,0.333872266,15.56207893,15.54298044,-83.84865597,1.038684206
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_12.jpk-qi-series,13,11213,-0.00173056,-0.002099097,-82.6783657,-47.5226796,-47.01128156,173,1.31E-14,0.014950662,0.012296455,12.29645538,-0.014950662,-0.19856673,14.24524446,-21.95050332,265.7281258,-22.07172162,1212,156,4.06E-07,0.662064598,13.00938586,0.004994991,0.000215979,0.215978642,17.96844754,17.94619559,-82.6783657,1.05855761
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_13.jpk-qi-series,14,11214,-0.001730494,-0.002099097,-75.73766943,-57.14956813,-56.97941265,93,7.95E-15,0.015737797,0.012823986,12.82398592,-0.015737797,-0.15112872,13.34111363,-29.07409091,274.6676486,-29.38230677,1274,185,9.99E-08,0.63708308,12.03377762,0.007044261,-0.000375375,-0.375375358,17.36730922,17.346849,-75.73766943,1.070986821
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_14.jpk-qi-series,15,11215,-0.001730427,-0.002099097,-65.9109692,-24.81345388,-24.61574972,204,7.05E-15,0.016236749,0.013153349,13.15334903,-0.016236749,-0.020327267,17.1633327,-22.39428075,281.7426643,-22.46655034,1286,159,4.62E-08,0.893227474,11.7277297,-0.012833677,-0.000994524,-0.994524231,17.89445288,17.87356847,-65.9109692,1.059364512
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_16.jpk-qi-series,17,11340,-0.001730627,-0.00209903,-83.64099951,-60.09525642,-59.81540731,116,4.64E-16,0.014847991,0.012226918,12.22691832,-0.014847991,-0.209139621,13.14855136,-24.6156235,266.9507285,-24.83564881,1221,141,1.72E-07,0.797350254,7.153838312,0.036100609,-0.000100774,-0.100774368,18.26216873,18.23971984,-83.64099951,1.028322784
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_18.jpk-qi-series,19,11342,-0.001730494,-0.00209903,-75.65981683,-45.67083168,-45.27426676,145,7.21E-15,0.015156772,0.012435539,12.43553901,-0.015156772,-0.119689231,17.29517608,-29.7875111,274.4549057,-29.9535664,1282,191,7.48E-08,0.625537043,11.78270337,-0.012607077,-0.000645217,-0.645216964,17.0208582,17.00093133,-75.65981683,1.031392967
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_19.jpk-qi-series,20,11343,-0.001730427,-0.00209903,-72.88164419,-39.05429024,-38.91205659,166,6.74E-15,0.01497074,0.012310034,12.31003365,-0.01497074,-0.065675834,16.72606487,-29.5895731,276.7016777,-29.99498935,1291,160,2.39E-09,0.898853487,4.316784022,-0.015495884,-0.001867989,-1.867988748,17.03899696,17.01918801,-72.88164419,1.041344932
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_20.jpk-qi-series,21,11467,-0.001730693,-0.002098964,-89.87358228,-55.31418598,-55.0692032,165,1.54E-14,0.012624348,0.010678103,10.6781034,-0.012624348,-0.118922063,18.91115375,-43.54482577,257.745191,-43.86491242,1282,286,7.88E-08,0.332671106,20.34211589,-0.012422899,0.000127873,0.12787264,17.8753885,17.85446121,-89.87358228,1.021754042
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-12.34.24.687-cropped_21.jpk-qi-series,22,11468,-0.001730627,-0.002098964,-83.00511116,-43.2874728,-43.04116449,189,2.08E-14,0.014026448,0.011664329,11.66432861,-0.014026448,-0.116047835,19.12250452,-34.0489219,267.4014037,-34.40134539,1269,219,1.94E-07,0.463072934,14.58388466,-0.016009132,-0.001053045,-1.053045124,16.37293622,16.35357141,-83.00511116,1.044333969
